term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	False	True	jaccard	1,1,1,4	0.3507	0.1975	0.0824	0.0282	0.2102	0.2150	0.8722	0.6119
tfidf	False	True	dice	1,1,1,1	0.3524	0.2188	0.1013	0.0428	0.2242	0.2301	0.8731	0.6173
tfidf	False	True	dice	1,3,4,1	0.3236	0.2083	0.0913	0.0422	0.2077	0.2137	0.8741	0.6105
tfidf	False	True	dice	1,1,1,4	0.3507	0.1975	0.0824	0.0282	0.2102	0.2150	0.8722	0.6119
tfidf	False	True	overlap	1,1,1,1	0.5061	0.3172	0.2013	0.0557	0.3415	0.3240	0.8897	0.6623
tfidf	False	True	overlap	1,3,4,1	0.5233	0.3262	0.1942	0.0613	0.3479	0.3331	0.8891	0.6703
tfidf	False	True	overlap	1,1,1,4	0.4384	0.2578	0.1464	0.0252	0.2809	0.2678	0.8860	0.6339
tfidf	True	False	cosine	1,1,1,1	0.5364	0.2962	0.1723	0.0423	0.3350	0.3289	0.9290	0.6963
tfidf	True	False	cosine	1,3,4,1	0.5525	0.3244	0.1831	0.0361	0.3533	0.3411	0.9306	0.7030
tfidf	True	False	cosine	1,1,1,4	0.4686	0.2246	0.1215	0.0213	0.2716	0.2705	0.9241	0.6613
tfidf	True	False	jaccard	1,1,1,1	0.4014	0.2352	0.1359	0.0329	0.2575	0.2610	0.9200	0.6469
tfidf	True	False	jaccard	1,3,4,1	0.3813	0.2082	0.1175	0.0298	0.2357	0.2363	0.9203	0.6376
tfidf	True	False	jaccard	1,1,1,4	0.4087	0.1850	0.1008	0.0189	0.2315	0.2384	0.9165	0.6293
tfidf	True	False	dice	1,1,1,1	0.4014	0.2352	0.1359	0.0329	0.2575	0.2610	0.9200	0.6469
tfidf	True	False	dice	1,3,4,1	0.3813	0.2082	0.1175	0.0298	0.2357	0.2363	0.9203	0.6376
tfidf	True	False	dice	1,1,1,4	0.4087	0.1850	0.1008	0.0189	0.2315	0.2384	0.9165	0.6293
tfidf	True	False	overlap	1,1,1,1	0.4886	0.2923	0.1751	0.0492	0.3186	0.3173	0.9238	0.6784
tfidf	True	False	overlap	1,3,4,1	0.5283	0.3221	0.2029	0.0469	0.3511	0.3415	0.9293	0.6974
tfidf	True	False	overlap	1,1,1,4	0.4336	0.2246	0.1519	0.0370	0.2700	0.2691	0.9166	0.6433
tfidf	True	True	cosine	1,1,1,1	0.5999	0.3452	0.1891	0.0688	0.3781	0.3667	0.9306	0.7121
tfidf	True	True	cosine	1,3,4,1	0.5702	0.3588	0.1923	0.0613	0.3738	0.3567	0.9330	0.7138
tfidf	True	True	cosine	1,1,1,4	0.5431	0.2784	0.1403	0.0429	0.3206	0.3139	0.9266	0.6829
tfidf	True	True	jaccard	1,1,1,1	0.4362	0.2533	0.1332	0.0418	0.2742	0.2730	0.9227	0.6641
tfidf	True	True	jaccard	1,3,4,1	0.3709	0.2223	0.1244	0.0415	0.2392	0.2457	0.9233	0.6528
tfidf	True	True	jaccard	1,1,1,4	0.4412	0.2392	0.1269	0.0300	0.2691	0.2691	0.9216	0.6588
tfidf	True	True	dice	1,1,1,1	0.4362	0.2533	0.1332	0.0418	0.2742	0.2730	0.9227	0.6641
tfidf	True	True	dice	1,3,4,1	0.3709	0.2223	0.1244	0.0415	0.2392	0.2457	0.9233	0.6528
tfidf	True	True	dice	1,1,1,4	0.4412	0.2392	0.1269	0.0300	0.2691	0.2691	0.9216	0.6588
tfidf	True	True	overlap	1,1,1,1	0.5567	0.3395	0.2282	0.0824	0.3748	0.3661	0.9318	0.7098
tfidf	True	True	overlap	1,3,4,1	0.5613	0.3651	0.2518	0.0816	0.3928	0.3794	0.9339	0.7228
tfidf	True	True	overlap	1,1,1,4	0.4661	0.2593	0.1771	0.0552	0.3008	0.3017	0.9253	0.6734
boolean	False	False	cosine	1,1,1,1	0.1631	0.0653	0.0291	0.0109	0.0858	0.0997	0.7819	0.4258
boolean	False	False	cosine	1,3,4,1	0.1631	0.0653	0.0291	0.0109	0.0858	0.0997	0.7819	0.4258
boolean	False	False	cosine	1,1,1,4	0.1631	0.0653	0.0291	0.0109	0.0858	0.0997	0.7819	0.4258
boolean	False	False	jaccard	1,1,1,1	0.1147	0.0422	0.0199	0.0064	0.0589	0.0759	0.7187	0.3398
boolean	False	False	jaccard	1,3,4,1	0.1147	0.0422	0.0199	0.0064	0.0589	0.0759	0.7187	0.3398
boolean	False	False	jaccard	1,1,1,4	0.1147	0.0422	0.0199	0.0064	0.0589	0.0759	0.7187	0.3398
boolean	False	False	dice	1,1,1,1	0.1147	0.0422	0.0199	0.0064	0.0589	0.0759	0.7187	0.3398
boolean	False	False	dice	1,3,4,1	0.1147	0.0422	0.0199	0.0064	0.0589	0.0759	0.7187	0.3398
boolean	False	False	dice	1,1,1,4	0.1147	0.0422	0.0199	0.0064	0.0589	0.0759	0.7187	0.3398
boolean	False	False	overlap	1,1,1,1	0.2559	0.1062	0.0546	0.0096	0.1389	0.1480	0.7986	0.4715
boolean	False	False	overlap	1,3,4,1	0.2559	0.1062	0.0546	0.0096	0.1389	0.1480	0.7986	0.4715
boolean	False	False	overlap	1,1,1,4	0.2559	0.1062	0.0546	0.0096	0.1389	0.1480	0.7986	0.4715
boolean	False	True	cosine	1,1,1,1	0.1879	0.0844	0.0400	0.0093	0.1041	0.1203	0.7577	0.4308
boolean	False	True	cosine	1,3,4,1	0.1879	0.0844	0.0400	0.0093	0.1041	0.1203	0.7577	0.4308
boolean	False	True	cosine	1,1,1,4	0.1879	0.0844	0.0400	0.0093	0.1041	0.1203	0.7577	0.4308
boolean	False	True	jaccard	1,1,1,1	0.1403	0.0530	0.0281	0.0078	0.0738	0.0921	0.7165	0.3764
boolean	False	True	jaccard	1,3,4,1	0.1403	0.0530	0.0281	0.0078	0.0738	0.0921	0.7165	0.3764
boolean	False	True	jaccard	1,1,1,4	0.1403	0.0530	0.0281	0.0078	0.0738	0.0921	0.7165	0.3764
boolean	False	True	dice	1,1,1,1	0.1403	0.0530	0.0281	0.0078	0.0738	0.0921	0.7165	0.3764
boolean	False	True	dice	1,3,4,1	0.1403	0.0530	0.0281	0.0078	0.0738	0.0921	0.7165	0.3764
boolean	False	True	dice	1,1,1,4	0.1403	0.0530	0.0281	0.0078	0.0738	0.0921	0.7165	0.3764
boolean	False	True	overlap	1,1,1,1	0.2711	0.1260	0.0568	0.0118	0.1513	0.1603	0.8106	0.4858
boolean	False	True	overlap	1,3,4,1	0.2711	0.1260	0.0568	0.0118	0.1513	0.1603	0.8106	0.4858
boolean	False	True	overlap	1,1,1,4	0.2711	0.1260	0.0568	0.0118	0.1513	0.1603	0.8106	0.4858
boolean	True	False	cosine	1,1,1,1	0.1808	0.0857	0.0355	0.0083	0.1006	0.1133	0.8200	0.4388
boolean	True	False	cosine	1,3,4,1	0.1808	0.0857	0.0355	0.0083	0.1006	0.1133	0.8200	0.4388
boolean	True	False	cosine	1,1,1,4	0.1808	0.0857	0.0355	0.0083	0.1006	0.1133	0.8200	0.4388
boolean	True	False	jaccard	1,1,1,1	0.1497	0.0633	0.0279	0.0069	0.0803	0.0931	0.7477	0.3525
boolean	True	False	jaccard	1,3,4,1	0.1497	0.0633	0.0279	0.0069	0.0803	0.0931	0.7477	0.3525
boolean	True	False	jaccard	1,1,1,4	0.1497	0.0633	0.0279	0.0069	0.0803	0.0931	0.7477	0.3525
boolean	True	False	dice	1,1,1,1	0.1497	0.0633	0.0279	0.0069	0.0803	0.0931	0.7477	0.3525
boolean	True	False	dice	1,3,4,1	0.1497	0.0633	0.0279	0.0069	0.0803	0.0931	0.7477	0.3525
boolean	True	False	dice	1,1,1,4	0.1497	0.0633	0.0279	0.0069	0.0803	0.0931	0.7477	0.3525
boolean	True	False	overlap	1,1,1,1	0.2219	0.0861	0.0528	0.0094	0.1203	0.1381	0.8316	0.4829
boolean	True	False	overlap	1,3,4,1	0.2219	0.0861	0.0528	0.0094	0.1203	0.1381	0.8316	0.4829
boolean	True	False	overlap	1,1,1,4	0.2219	0.0861	0.0528	0.0094	0.1203	0.1381	0.8316	0.4829
boolean	True	True	cosine	1,1,1,1	0.2181	0.0980	0.0437	0.0076	0.1200	0.1317	0.8051	0.4488
boolean	True	True	cosine	1,3,4,1	0.2181	0.0980	0.0437	0.0076	0.1200	0.1317	0.8051	0.4488
boolean	True	True	cosine	1,1,1,4	0.2181	0.0980	0.0437	0.0076	0.1200	0.1317	0.8051	0.4488
boolean	True	True	jaccard	1,1,1,1	0.1723	0.0700	0.0362	0.0073	0.0928	0.1084	0.7522	0.3851
boolean	True	True	jaccard	1,3,4,1	0.1723	0.0700	0.0362	0.0073	0.0928	0.1084	0.7522	0.3851
boolean	True	True	jaccard	1,1,1,4	0.1723	0.0700	0.0362	0.0073	0.0928	0.1084	0.7522	0.3851
boolean	True	True	dice	1,1,1,1	0.1723	0.0700	0.0362	0.0073	0.0928	0.1084	0.7522	0.3851
boolean	True	True	dice	1,3,4,1	0.1723	0.0700	0.0362	0.0073	0.0928	0.1084	0.7522	0.3851
boolean	True	True	dice	1,1,1,4	0.1723	0.0700	0.0362	0.0073	0.0928	0.1084	0.7522	0.3851
boolean	True	True	overlap	1,1,1,1	0.2715	0.1121	0.0628	0.0103	0.1488	0.1644	0.8536	0.5119
boolean	True	True	overlap	1,3,4,1	0.2715	0.1121	0.0628	0.0103	0.1488	0.1644	0.8536	0.5119
boolean	True	True	overlap	1,1,1,4	0.2715	0.1121	0.0628	0.0103	0.1488	0.1644	0.8536	0.5119
